schema,table_name,column_order,column_name,prisma_type,db_type,nullable
rst,act_advisories_flat,1,rec_resource_id,String,VarChar(20),NO
rst,act_advisories_flat,2,advisory_number,Int,Int,NO
rst,act_advisories_flat,3,title,String,VarChar(255),NO
rst,act_advisories_flat,4,description,String,String,YES
rst,act_advisories_flat,5,submitted_by,String,VarChar(120),NO
rst,act_advisories_flat,6,access_status_name,String,VarChar(100),NO
rst,act_advisories_flat,7,access_status_grouplabel,String,VarChar(50),NO
rst,act_advisories_flat,8,access_status_description,String,String,YES
rst,act_advisories_flat,9,event_type,String,VarChar(100),NO
rst,act_advisories_flat,10,urgency,String,VarChar(25),NO
rst,act_advisories_flat,11,advisory_status,String,VarChar(100),NO
rst,act_advisories_flat,12,is_reservations_affected,Boolean,Boolean,YES
rst,act_advisories_flat,13,is_advisory_date_displayed,Boolean,Boolean,NO
rst,act_advisories_flat,14,is_effective_date_displayed,Boolean,Boolean,NO
rst,act_advisories_flat,15,is_end_date_displayed,Boolean,Boolean,NO
rst,act_advisories_flat,16,is_updated_date_displayed,Boolean,Boolean,YES
rst,act_advisories_flat,17,advisory_date,DateTime,Timestamptz(6),NO
rst,act_advisories_flat,18,effective_date,DateTime,Timestamptz(6),YES
rst,act_advisories_flat,19,end_date,DateTime,Timestamptz(6),YES
rst,act_advisories_flat,20,expiry_date,DateTime,Timestamptz(6),YES
rst,act_advisories_flat,21,updated_date,DateTime,Timestamptz(6),YES
rst,act_advisories_flat,22,published_at,DateTime,Timestamptz(6),YES
rst,act_advisories_flat,23,sys_period,Unsupported,tstzrange,NO
rst,act_advisories_flat,24,listing_rank,Int,Int,NO
rst,act_advisories_flat,25,urgency_sequence,Int,Int,NO
rst,act_advisories_flat,26,access_status_precedence,Int,Int,NO
rst,act_advisories_flat,27,event_type_precedence,Int,Int,NO
rst,act_advisories_flat,28,updated_at,DateTime,Timestamp(6),YES
rst,natural_resource_org_unit,1,rec_resource_id,String,VarChar(10),NO
rst,natural_resource_org_unit,2,org_unit_no,Decimal,"Decimal(10, 0)",NO
rst,natural_resource_org_unit,3,org_unit_code,String,VarChar(6),NO
rst,natural_resource_org_unit,4,org_unit_name,String,VarChar(100),NO
rst,natural_resource_org_unit,5,location_code,String,VarChar(3),YES
rst,natural_resource_org_unit,6,org_level_code,String,VarChar(1),YES
rst,natural_resource_org_unit,7,office_name_code,String,VarChar(2),YES
rst,natural_resource_org_unit,8,region_no,Decimal,"Decimal(10, 0)",YES
rst,natural_resource_org_unit,9,region_code,String,VarChar(6),YES
rst,natural_resource_org_unit,10,district_no,Decimal,"Decimal(10, 0)",YES
rst,natural_resource_org_unit,11,district_code,String,VarChar(6),YES
rst,natural_resource_org_unit,12,effective_date,DateTime,Date,YES
rst,natural_resource_org_unit,13,expiry_date,DateTime,Date,YES
rst,natural_resource_org_unit,14,updated_at,DateTime,Date,YES
rst,natural_resource_org_unit,15,sys_period,Unsupported,tstzrange,NO
rst,recreation_access,1,id,Int,Int,NO
rst,recreation_access,2,rec_resource_id,String,VarChar(20),NO
rst,recreation_access,3,access_code,String,VarChar(3),NO
rst,recreation_access,4,sub_access_code,String,VarChar(3),YES
rst,recreation_access,5,updated_at,DateTime,Timestamp(6),YES
rst,recreation_access,6,updated_by,String,String,YES
rst,recreation_access,7,created_at,DateTime,Timestamp(6),YES
rst,recreation_access,8,created_by,String,String,YES
rst,recreation_access,9,sys_period,Unsupported,tstzrange,NO
rst,recreation_access_and_sub_access_code,1,access_code,String,VarChar(3),NO
rst,recreation_access_and_sub_access_code,2,access_code_description,String,VarChar(100),NO
rst,recreation_access_and_sub_access_code,3,sub_access_code,String,VarChar(3),NO
rst,recreation_access_and_sub_access_code,4,sub_access_code_description,String,VarChar(100),YES
rst,recreation_access_and_sub_access_code,5,updated_at,DateTime,Timestamp(6),YES
rst,recreation_access_and_sub_access_code,6,sys_period,Unsupported,tstzrange,NO
rst,recreation_access_code,1,access_code,String,VarChar(3),NO
rst,recreation_access_code,2,description,String,VarChar(120),YES
rst,recreation_access_code,3,sub_description,String,VarChar(120),YES
rst,recreation_access_code,4,updated_at,DateTime,Timestamp(6),YES
