schema,table_name,column_order,column_name,prisma_type,db_type,nullable
rst,recreation_access_code,5,sys_period,Unsupported,tstzrange,NO
rst,recreation_activity,1,rec_resource_id,String,VarChar(200),NO
rst,recreation_activity,2,recreation_activity_code,Int,Int,NO
rst,recreation_activity,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_activity,4,updated_by,String,String,YES
rst,recreation_activity,5,created_at,DateTime,Timestamp(6),YES
rst,recreation_activity,6,created_by,String,String,YES
rst,recreation_activity,7,sys_period,Unsupported,tstzrange,NO
rst,recreation_activity_code,1,recreation_activity_code,Int,Int,NO
rst,recreation_activity_code,2,description,String,VarChar(120),YES
rst,recreation_activity_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_activity_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_activity_code,5,details,String,String,YES
rst,recreation_activity_code,6,is_accessible,Boolean,Boolean,YES
rst,recreation_activity_code_trails,1,recreation_activity_code_trails_id,Int,Int,NO
rst,recreation_activity_code_trails,2,recreation_activity_code,Int,Int,NO
rst,recreation_activity_code_trails,3,rec_resource_id,String,VarChar(20),NO
rst,recreation_activity_code_trails,4,trail_type,trail_types,trail_types,YES
rst,recreation_activity_code_trails,5,name,String,VarChar(120),NO
rst,recreation_activity_code_trails,6,description,String,String,YES
rst,recreation_activity_code_trails,7,updated_at,DateTime,Timestamp(6),YES
rst,recreation_activity_code_trails,8,sys_period,Unsupported,tstzrange,NO
rst,recreation_agreement_holder,1,rec_resource_id,String,VarChar(10),NO
rst,recreation_agreement_holder,2,client_number,String,VarChar(8),YES
rst,recreation_agreement_holder,3,agreement_start_date,DateTime,Date,YES
rst,recreation_agreement_holder,4,agreement_end_date,DateTime,Date,YES
rst,recreation_agreement_holder,5,revision_count,Int,Int,YES
rst,recreation_agreement_holder,6,updated_at,DateTime,Timestamp(6),YES
rst,recreation_agreement_holder,7,updated_by,String,String,YES
rst,recreation_agreement_holder,8,created_at,DateTime,Timestamp(6),YES
rst,recreation_agreement_holder,9,created_by,String,String,YES
rst,recreation_agreement_holder,10,sys_period,Unsupported,tstzrange,NO
rst,recreation_agreement_holder,11,agreement_holder_id,Int,Int,NO
rst,recreation_agreement_holder,12,visible_on_public_website,Boolean,Boolean,NO
rst,recreation_agreement_holder,13,recreation_operator,Boolean,Boolean,NO
rst,recreation_asset,1,asset_id,BigInt,BigInt,NO
rst,recreation_asset,2,parent_id,BigInt,BigInt,YES
rst,recreation_asset,3,asset_tag,String,VarChar(50),YES
rst,recreation_asset,4,rec_resource_id,String,VarChar(20),NO
rst,recreation_asset,5,asset_code,Int,Int,NO
rst,recreation_asset,6,asset_name,String,VarChar(200),YES
rst,recreation_asset,7,asset_comment,String,String,YES
rst,recreation_asset,8,legacy_structure_id,String,VarChar(20),YES
rst,recreation_asset,9,asset_length,Decimal,"Decimal(7, 1)",YES
rst,recreation_asset,10,asset_width,Decimal,"Decimal(7, 1)",YES
rst,recreation_asset,11,asset_area,Decimal,"Decimal(7, 1)",YES
rst,recreation_asset,12,actual_value,Decimal,"Decimal(7, 2)",YES
rst,recreation_asset,13,installation_date,DateTime,Date,YES
rst,recreation_asset,14,updated_at,DateTime,Timestamp(6),YES
rst,recreation_asset,15,updated_by,String,String,YES
rst,recreation_asset,16,created_at,DateTime,Timestamp(6),YES
rst,recreation_asset,17,created_by,String,String,YES
rst,recreation_asset,18,sys_period,Unsupported,tstzrange,NO
rst,recreation_asset_code,1,asset_code,Int,Int,NO
rst,recreation_asset_code,2,description,String,VarChar(120),YES
rst,recreation_asset_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_asset_code,4,updated_by,String,String,YES
rst,recreation_asset_code,5,created_at,DateTime,Timestamp(6),YES
rst,recreation_asset_code,6,created_by,String,String,YES
rst,recreation_asset_code,7,sys_period,Unsupported,tstzrange,NO
rst,recreation_asset_code,8,has_length,Boolean,Boolean,NO
rst,recreation_asset_code,9,has_width,Boolean,Boolean,NO
rst,recreation_asset_code,10,has_area,Boolean,Boolean,NO
rst,recreation_asset_code,11,default_value,Decimal,"Decimal(7, 2)",YES
rst,recreation_asset_geom,1,asset_id,BigInt,BigInt,NO
rst,recreation_asset_geom,2,geometry_type_code,String,VarChar(3),YES
rst,recreation_asset_geom,3,geometry,Unsupported,geometry,YES
rst,recreation_asset_geom,4,updated_at,DateTime,Timestamp(6),YES
rst,recreation_asset_geom,5,updated_by,String,String,YES
rst,recreation_asset_geom,6,created_at,DateTime,Timestamp(6),YES
rst,recreation_asset_geom,7,created_by,String,String,YES
rst,recreation_asset_geom,8,sys_period,Unsupported,tstzrange,NO
rst,recreation_asset_repair,1,repair_id,BigInt,BigInt,NO
rst,recreation_asset_repair,2,asset_id,BigInt,BigInt,NO
rst,recreation_asset_repair,3,recreation_remed_repair_code,String,VarChar(2),YES
rst,recreation_asset_repair,4,estimated_repair_cost,Decimal,"Decimal(10, 2)",YES
rst,recreation_asset_repair,5,actual_repair_cost,Decimal,"Decimal(10, 2)",YES
rst,recreation_asset_repair,6,repair_completed_date,DateTime,Date,YES
rst,recreation_asset_repair,7,urgency,String,VarChar(25),YES
rst,recreation_asset_repair,8,trail_segment_start,String,VarChar(50),YES
rst,recreation_asset_repair,9,trail_segment_end,String,VarChar(50),YES
rst,recreation_asset_repair,10,updated_at,DateTime,Timestamp(6),YES
rst,recreation_asset_repair,11,updated_by,String,String,YES
rst,recreation_asset_repair,12,created_at,DateTime,Timestamp(6),YES
rst,recreation_asset_repair,13,created_by,String,String,YES
rst,recreation_asset_repair,14,sys_period,Unsupported,tstzrange,NO
rst,recreation_control_access_code,1,recreation_control_access_code,String,VarChar(1),NO
rst,recreation_control_access_code,2,description,String,VarChar(120),YES
rst,recreation_control_access_code,3,effective_date,DateTime,Date,YES
rst,recreation_control_access_code,4,expiry_date,DateTime,Date,YES
rst,recreation_control_access_code,5,update_timestamp,DateTime,Timestamp(6),YES
rst,recreation_control_access_code,6,updated_at,DateTime,Timestamp(6),YES
rst,recreation_control_access_code,7,updated_by,String,String,YES
rst,recreation_control_access_code,8,created_at,DateTime,Timestamp(6),YES
rst,recreation_control_access_code,9,created_by,String,String,YES
rst,recreation_control_access_code,10,sys_period,Unsupported,tstzrange,NO
rst,recreation_defined_campsite,1,rec_resource_id,String,VarChar(10),NO
rst,recreation_defined_campsite,2,campsite_number,Int,Int,NO
rst,recreation_defined_campsite,3,estimated_repair_cost,Decimal,"Decimal(10, 2)",YES
rst,recreation_defined_campsite,4,recreation_remed_repair_code,String,VarChar(2),YES
rst,recreation_defined_campsite,5,repair_complete_date,DateTime,Date,YES
rst,recreation_defined_campsite,6,updated_at,DateTime,Timestamp(6),YES
rst,recreation_defined_campsite,7,updated_by,String,String,YES
rst,recreation_defined_campsite,8,created_at,DateTime,Timestamp(6),YES
rst,recreation_defined_campsite,9,created_by,String,String,YES
rst,recreation_defined_campsite,10,sys_period,Unsupported,tstzrange,NO
rst,recreation_district_code,1,district_code,String,VarChar(4),NO
rst,recreation_district_code,2,description,String,VarChar(120),NO
rst,recreation_district_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_district_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_district_code,5,is_archived,Boolean,Boolean,NO
rst,recreation_driving_direction,1,rec_resource_id,String,VarChar(10),NO
rst,recreation_driving_direction,2,description,String,String,YES
rst,recreation_driving_direction,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_driving_direction,4,updated_by,String,String,YES
rst,recreation_driving_direction,5,created_at,DateTime,Timestamp(6),YES
rst,recreation_driving_direction,6,created_by,String,String,YES
rst,recreation_driving_direction,7,sys_period,Unsupported,tstzrange,NO
rst,recreation_driving_direction,8,driving_directions_date,DateTime,Date,YES
rst,recreation_establishment_order_docs,1,s3_key,String,VarChar,NO
rst,recreation_establishment_order_docs,2,rec_resource_id,String,VarChar(10),YES
rst,recreation_establishment_order_docs,3,title,String,VarChar,YES
rst,recreation_establishment_order_docs,4,file_size,BigInt,BigInt,YES
rst,recreation_establishment_order_docs,5,extension,String,VarChar,YES
rst,recreation_establishment_order_docs,6,updated_at,DateTime,Timestamp(6),YES
rst,recreation_establishment_order_docs,7,updated_by,String,String,YES
rst,recreation_establishment_order_docs,8,created_at,DateTime,Timestamp(6),YES
rst,recreation_establishment_order_docs,9,created_by,String,String,YES
rst,recreation_establishment_order_docs,10,sys_period,Unsupported,tstzrange,NO
rst,recreation_exhibit_a_doc,1,doc_id,String,Uuid,NO
rst,recreation_exhibit_a_doc,2,rec_resource_id,String,VarChar(10),NO
rst,recreation_exhibit_a_doc,3,file_name,String,VarChar,NO
rst,recreation_exhibit_a_doc,4,extension,String,VarChar,NO
rst,recreation_exhibit_a_doc,5,file_size,BigInt,BigInt,YES
rst,recreation_exhibit_a_doc,6,s3_key,String,VarChar,NO
rst,recreation_exhibit_a_doc,7,updated_at,DateTime,Timestamp(6),YES
rst,recreation_exhibit_a_doc,8,updated_by,String,String,YES
rst,recreation_exhibit_a_doc,9,created_at,DateTime,Timestamp(6),YES
rst,recreation_exhibit_a_doc,10,created_by,String,String,YES
rst,recreation_exhibit_a_doc,11,sys_period,Unsupported,tstzrange,NO
rst,recreation_feature,1,rec_resource_id,String,VarChar(20),NO
rst,recreation_feature,2,recreation_feature_code,String,VarChar(3),NO
rst,recreation_feature,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_feature,4,updated_by,String,String,YES
rst,recreation_feature,5,created_at,DateTime,Timestamp(6),YES
rst,recreation_feature,6,created_by,String,String,YES
rst,recreation_feature,7,sys_period,Unsupported,tstzrange,NO
rst,recreation_feature_code,1,recreation_feature_code,String,VarChar(3),NO
rst,recreation_feature_code,2,description,String,VarChar(120),NO
rst,recreation_feature_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_feature_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_fee,1,rec_resource_id,String,VarChar(200),NO
rst,recreation_fee,2,fee_amount,Int,Int,YES
rst,recreation_fee,3,fee_start_date,DateTime,Date,YES
rst,recreation_fee,4,fee_end_date,DateTime,Date,YES
rst,recreation_fee,5,monday_ind,String,VarChar(1),YES
rst,recreation_fee,6,tuesday_ind,String,VarChar(1),YES
rst,recreation_fee,7,wednesday_ind,String,VarChar(1),YES
rst,recreation_fee,8,thursday_ind,String,VarChar(1),YES
rst,recreation_fee,9,friday_ind,String,VarChar(1),YES
rst,recreation_fee,10,saturday_ind,String,VarChar(1),YES
rst,recreation_fee,11,sunday_ind,String,VarChar(1),YES
rst,recreation_fee,12,recreation_fee_code,String,VarChar(1),NO
rst,recreation_fee,13,updated_at,DateTime,Timestamp(6),YES
rst,recreation_fee,14,updated_by,String,String,YES
rst,recreation_fee,15,created_at,DateTime,Timestamp(6),YES
rst,recreation_fee,16,created_by,String,String,YES
rst,recreation_fee,17,sys_period,Unsupported,tstzrange,NO
rst,recreation_fee,18,fee_id,Int,Int,NO
rst,recreation_fee,19,recurring_ind,Boolean,Boolean,NO
rst,recreation_fee,20,recurring_start_mmdd,String,String,YES
rst,recreation_fee,21,recurring_end_mmdd,String,String,YES
rst,recreation_fee,22,is_deleted,Boolean,Boolean,NO
rst,recreation_fee,23,deleted_at,DateTime,Timestamp(6),YES
rst,recreation_fee,24,deleted_by,String,String,YES
rst,recreation_fee,25,recreation_fee_sub_code,String,VarChar(30),YES
rst,recreation_fee_code,1,recreation_fee_code,String,VarChar(1),NO
rst,recreation_fee_code,2,description,String,VarChar(120),NO
rst,recreation_fee_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_fee_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_fee_fdl_log,1,id,BigInt,BigInt,NO
rst,recreation_fee_fdl_log,2,fee_id,Int,Int,NO
rst,recreation_fee_fdl_log,3,confirmed_by,String,String,NO
rst,recreation_fee_fdl_log,4,confirmed_at,DateTime,Timestamptz(6),NO
rst,recreation_fee_sub_code,1,recreation_fee_code,String,VarChar(1),NO
rst,recreation_fee_sub_code,2,recreation_fee_sub_code,String,VarChar(30),NO
rst,recreation_fee_sub_code,3,description,String,VarChar(120),NO
rst,recreation_fee_sub_code,4,updated_at,DateTime,Timestamp(6),YES
rst,recreation_fee_sub_code,5,sys_period,Unsupported,tstzrange,NO
rst,recreation_image_consent_form,1,consent_id,String,Uuid,NO
rst,recreation_image_consent_form,2,image_id,String,Uuid,NO
rst,recreation_image_consent_form,3,doc_id,String,Uuid,YES
rst,recreation_image_consent_form,4,photographer_type_code,String,VarChar,YES
rst,recreation_image_consent_form,5,photographer_name,String,VarChar(255),YES
rst,recreation_image_consent_form,6,date_taken,DateTime,Date,YES
rst,recreation_image_consent_form,7,contains_pii,Boolean,Boolean,NO
rst,recreation_image_consent_form,8,updated_at,DateTime,Timestamp(6),YES
rst,recreation_image_consent_form,9,updated_by,String,String,YES
rst,recreation_image_consent_form,10,created_at,DateTime,Timestamp(6),YES
rst,recreation_image_consent_form,11,created_by,String,String,YES
rst,recreation_image_consent_form,12,sys_period,Unsupported,tstzrange,NO
rst,recreation_maintenance_standard_code,1,maintenance_standard_code,String,VarChar(1),NO
rst,recreation_maintenance_standard_code,2,description,String,VarChar(200),NO
rst,recreation_maintenance_standard_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_maintenance_standard_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_map_feature,1,rmf_skey,Int,Int,NO
rst,recreation_map_feature,2,rec_resource_id,String,VarChar(10),YES
rst,recreation_map_feature,3,section_id,String,VarChar(30),YES
rst,recreation_map_feature,4,amendment_id,Int,Int,YES
rst,recreation_map_feature,5,amend_status_code,String,VarChar(3),YES
rst,recreation_map_feature,6,recreation_resource_type,String,VarChar(3),YES
rst,recreation_map_feature,7,amend_status_date,DateTime,Date,YES
rst,recreation_map_feature,8,retirement_date,DateTime,Date,YES
rst,recreation_map_feature,9,revision_count,Int,Int,YES
rst,recreation_map_feature,10,recreation_map_feature_guid,String,VarChar(36),YES
rst,recreation_map_feature,11,updated_at,DateTime,Timestamp(6),YES
rst,recreation_map_feature,12,updated_by,String,String,YES
rst,recreation_map_feature,13,created_at,DateTime,Timestamp(6),YES
rst,recreation_map_feature,14,created_by,String,String,YES
rst,recreation_map_feature,15,sys_period,Unsupported,tstzrange,NO
rst,recreation_map_feature_geom,1,rmf_skey,Int,Int,NO
rst,recreation_map_feature_geom,2,map_feature_id,Int,Int,YES
rst,recreation_map_feature_geom,3,geometry_type_code,String,VarChar(3),YES
rst,recreation_map_feature_geom,4,geometry,Unsupported,geometry,YES
rst,recreation_map_feature_geom,5,feature_area,Decimal,"Decimal(11, 4)",YES
rst,recreation_map_feature_geom,6,feature_length,Decimal,"Decimal(11, 4)",YES
rst,recreation_map_feature_geom,7,feature_perimeter,Decimal,"Decimal(11, 4)",YES
rst,recreation_map_feature_geom,8,revision_count,Int,Int,YES
rst,recreation_map_feature_geom,9,updated_at,DateTime,Timestamp(6),YES
rst,recreation_map_feature_geom,10,updated_by,String,String,YES
rst,recreation_map_feature_geom,11,created_at,DateTime,Timestamp(6),YES
rst,recreation_map_feature_geom,12,created_by,String,String,YES
rst,recreation_map_feature_geom,13,sys_period,Unsupported,tstzrange,NO
rst,recreation_partner_relationship_type_code,1,partner_relationship_type_code,String,VarChar(20),NO
rst,recreation_partner_relationship_type_code,2,description,String,VarChar(120),NO
rst,recreation_partner_relationship_type_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_partner_relationship_type_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_photographer_type_code,1,photographer_type_code,String,VarChar,NO
rst,recreation_photographer_type_code,2,description,String,VarChar,YES
rst,recreation_photographer_type_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_photographer_type_code,4,updated_by,String,String,YES
rst,recreation_photographer_type_code,5,created_at,DateTime,Timestamp(6),YES
rst,recreation_photographer_type_code,6,created_by,String,String,YES
rst,recreation_photographer_type_code,7,sys_period,Unsupported,tstzrange,NO
rst,recreation_remed_repair_code,1,recreation_remed_repair_code,String,VarChar(2),NO
rst,recreation_remed_repair_code,2,description,String,VarChar(120),YES
rst,recreation_remed_repair_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_remed_repair_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_resource,1,rec_resource_id,String,VarChar(20),NO
rst,recreation_resource,2,name,String,VarChar(200),YES
rst,recreation_resource,3,description,String,String,YES
rst,recreation_resource,4,closest_community,String,VarChar(200),YES
rst,recreation_resource,5,display_on_public_site,Boolean,Boolean,YES
rst,recreation_resource,6,district_code,String,VarChar(4),YES
rst,recreation_resource,7,maintenance_standard_code,String,VarChar(1),YES
rst,recreation_resource,8,updated_at,DateTime,Timestamp(6),YES
rst,recreation_resource,9,updated_by,String,String,YES
rst,recreation_resource,10,created_at,DateTime,Timestamp(6),YES
rst,recreation_resource,11,created_by,String,String,YES
rst,recreation_resource,12,sys_period,Unsupported,tstzrange,NO
rst,recreation_resource,13,project_established_date,DateTime,Date,YES
rst,recreation_resource,14,control_access_code,String,VarChar(1),YES
rst,recreation_resource,15,risk_rating_code,String,VarChar(2),YES
rst,recreation_resource,16,right_of_way,Decimal,"Decimal(7, 1)",YES
rst,recreation_resource,17,rec_status_code,String,VarChar(50),YES
rst,recreation_resource,18,arch_impact_assess_ind,String,VarChar(1),YES
rst,recreation_resource,19,resource_feature_ind,String,VarChar(1),YES
rst,recreation_resource,20,last_rec_inspection_date,DateTime,Date,YES
rst,recreation_resource,21,last_hzrd_tree_assess_date,DateTime,Date,YES
rst,recreation_resource_doc_code,1,doc_code,String,VarChar,NO
rst,recreation_resource_doc_code,2,description,String,VarChar,YES
rst,recreation_resource_doc_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_resource_doc_code,4,updated_by,String,String,YES
rst,recreation_resource_doc_code,5,created_at,DateTime,Timestamp(6),YES
rst,recreation_resource_doc_code,6,created_by,String,String,YES
rst,recreation_resource_doc_code,7,sys_period,Unsupported,tstzrange,NO
rst,recreation_resource_document,1,doc_id,String,Uuid,NO
rst,recreation_resource_document,2,rec_resource_id,String,VarChar(10),NO
rst,recreation_resource_document,3,doc_code,String,VarChar,NO
rst,recreation_resource_document,4,file_name,String,VarChar,NO
rst,recreation_resource_document,5,extension,String,VarChar,NO
rst,recreation_resource_document,6,file_size,BigInt,BigInt,YES
rst,recreation_resource_document,7,updated_at,DateTime,Timestamp(6),YES
rst,recreation_resource_document,8,updated_by,String,String,YES
rst,recreation_resource_document,9,created_at,DateTime,Timestamp(6),YES
rst,recreation_resource_document,10,created_by,String,String,YES
rst,recreation_resource_document,11,sys_period,Unsupported,tstzrange,NO
rst,recreation_resource_image,1,image_id,String,Uuid,NO
rst,recreation_resource_image,2,rec_resource_id,String,VarChar(10),NO
rst,recreation_resource_image,3,file_name,String,VarChar,NO
rst,recreation_resource_image,4,extension,String,VarChar,NO
rst,recreation_resource_image,5,file_size,BigInt,BigInt,YES
rst,recreation_resource_image,6,updated_at,DateTime,Timestamp(6),YES
rst,recreation_resource_image,7,updated_by,String,String,YES
rst,recreation_resource_image,8,created_at,DateTime,Timestamp(6),YES
rst,recreation_resource_image,9,created_by,String,String,YES
rst,recreation_resource_image,10,sys_period,Unsupported,tstzrange,NO
rst,recreation_resource_reservation_info,1,rec_resource_id,String,VarChar(10),NO
rst,recreation_resource_reservation_info,2,reservation_website,String,VarChar(200),YES
rst,recreation_resource_reservation_info,3,reservation_phone_number,String,VarChar(50),YES
rst,recreation_resource_reservation_info,4,reservation_email,String,VarChar(100),YES
rst,recreation_resource_reservation_info,5,updated_at,DateTime,Timestamp(6),YES
rst,recreation_resource_reservation_info,6,updated_by,String,String,YES
rst,recreation_resource_reservation_info,7,created_at,DateTime,Timestamp(6),YES
rst,recreation_resource_reservation_info,8,created_by,String,String,YES
rst,recreation_resource_reservation_info,9,sys_period,Unsupported,tstzrange,NO
rst,recreation_resource_status_code,1,recreation_resource_status_code,String,VarChar(3),NO
rst,recreation_resource_status_code,2,description,String,VarChar(120),YES
rst,recreation_resource_status_code,3,effective_date,DateTime,Date,YES
rst,recreation_resource_status_code,4,expiry_date,DateTime,Date,YES
rst,recreation_resource_status_code,5,update_timestamp,DateTime,Date,YES
rst,recreation_resource_status_code,6,updated_at,DateTime,Timestamp(6),YES
rst,recreation_resource_status_code,7,sys_period,Unsupported,tstzrange,NO
rst,recreation_resource_type_code,1,rec_resource_type_code,String,VarChar(10),NO
rst,recreation_resource_type_code,2,description,String,VarChar(200),NO
rst,recreation_resource_type_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_resource_type_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_risk_rating_code,1,risk_rating_code,String,VarChar(2),NO
rst,recreation_risk_rating_code,2,description,String,VarChar(100),NO
rst,recreation_risk_rating_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_risk_rating_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_site_description,1,rec_resource_id,String,VarChar(10),NO
rst,recreation_site_description,2,description,String,String,YES
rst,recreation_site_description,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_site_description,4,updated_by,String,String,YES
rst,recreation_site_description,5,created_at,DateTime,Timestamp(6),YES
rst,recreation_site_description,6,created_by,String,String,YES
rst,recreation_site_description,7,sys_period,Unsupported,tstzrange,NO
rst,recreation_site_description,8,description_date,DateTime,Date,YES
rst,recreation_site_point,1,rec_resource_id,String,VarChar(10),NO
rst,recreation_site_point,2,geometry,Unsupported,geometry,YES
rst,recreation_site_point,3,revision_count,Int,Int,YES
rst,recreation_site_point,4,updated_at,DateTime,Timestamp(6),YES
rst,recreation_site_point,5,updated_by,String,String,YES
rst,recreation_site_point,6,created_at,DateTime,Timestamp(6),YES
rst,recreation_site_point,7,created_by,String,String,YES
rst,recreation_site_point,8,sys_period,Unsupported,tstzrange,NO
rst,recreation_status,1,rec_resource_id,String,VarChar(200),NO
rst,recreation_status,2,status_code,Int,Int,NO
rst,recreation_status,3,comment,String,VarChar(5000),NO
rst,recreation_status,4,updated_at,DateTime,Timestamp(6),YES
rst,recreation_status,5,updated_by,String,String,YES
rst,recreation_status,6,created_at,DateTime,Timestamp(6),YES
rst,recreation_status,7,created_by,String,String,YES
rst,recreation_status,8,sys_period,Unsupported,tstzrange,NO
rst,recreation_status,9,comment_date,DateTime,Date,YES
rst,recreation_status_code,1,status_code,Int,Int,NO
rst,recreation_status_code,2,description,String,VarChar(120),NO
rst,recreation_status_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_status_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_structure,1,rec_resource_id,String,VarChar(20),NO
rst,recreation_structure,2,structure_code,Int,Int,NO
rst,recreation_structure,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_structure,4,updated_by,String,String,YES
rst,recreation_structure,5,created_at,DateTime,Timestamp(6),YES
rst,recreation_structure,6,created_by,String,String,YES
rst,recreation_structure,7,sys_period,Unsupported,tstzrange,NO
rst,recreation_structure_code,1,structure_code,Int,Int,NO
rst,recreation_structure_code,2,description,String,VarChar(120),YES
rst,recreation_structure_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_structure_code,4,sys_period,Unsupported,tstzrange,NO
rst,recreation_sub_access_code,1,sub_access_code,String,VarChar(3),NO
rst,recreation_sub_access_code,2,description,String,VarChar(120),YES
rst,recreation_sub_access_code,3,updated_at,DateTime,Timestamp(6),YES
rst,recreation_sub_access_code,4,sys_period,Unsupported,tstzrange,NO
